Directory,Filename,RapidEye_Grid_ID,Acquisition_Date,Field_Name
data/raw_chips,3654024_2011-05-03_RE3_3A_Analytic_SR_clip.tif,3654024,2011-05-03,Boundary_Fields_Addition_2010-12 — Maale_gilboa_makruz_2011
data/raw_chips,3654024_2011-05-03_RE3_3A_Analytic_SR_clip.tif,3654024,2011-05-03,Boundary_Fields_Addition_2010-12 — Mesilot_mafrek_E_2011
data/raw_chips,3654024_2011-05-03_RE3_3A_Analytic_SR_clip.tif,3654024,2011-05-03,Boundary_Fields_Addition_2010-12 — Mesilot_um_savisa_2011
data/raw_chips,3654024_2011-05-03_RE3_3A_Analytic_SR_clip.tif,3654024,2011-05-03,Boundary_Fields_Addition_2010-12 — Sde_Eliyahu_2011_hamra_vav
data/raw_chips,3654024_2011-05-03_RE3_3A_Analytic_SR_clip.tif,3654024,2011-05-03,Boundary_Fields_Addition_2010-12 — Sde_Eliyahu_2011_shokef_alef
data/raw_chips,3654024_2011-05-03_RE3_3A_Analytic_SR_clip.tif,3654024,2011-05-03,Boundary_Fields_Addition_2010-12 — Sde_Eliyahu_kemach_E
data/raw_chips,3654024_2011-05-03_RE3_3A_Analytic_SR_clip.tif,3654024,2011-05-03,Boundary_Fields_Addition_2010-12 — Sde_Eliyahu_Kemach_W_2012
data/raw_chips,3654024_2011-05-03_RE3_3A_Analytic_SR_clip.tif,3654024,2011-05-03,Boundary_Fields_Baseline_2011 — Eden_gimel
data/raw_chips,3654024_2011-05-10_RE5_3A_Analytic_SR_clip.tif,3654024,2011-05-10,Boundary_Fields_Addition_2010-12 — Maale_gilboa_makruz_2011
data/raw_chips,3654024_2011-05-10_RE5_3A_Analytic_SR_clip.tif,3654024,2011-05-10,Boundary_Fields_Addition_2010-12 — Mesilot_mafrek_E_2011
data/raw_chips,3654024_2011-05-10_RE5_3A_Analytic_SR_clip.tif,3654024,2011-05-10,Boundary_Fields_Addition_2010-12 — Mesilot_um_savisa_2011
data/raw_chips,3654024_2011-05-10_RE5_3A_Analytic_SR_clip.tif,3654024,2011-05-10,Boundary_Fields_Addition_2010-12 — Sde_Eliyahu_2011_hamra_vav
data/raw_chips,3654024_2011-05-10_RE5_3A_Analytic_SR_clip.tif,3654024,2011-05-10,Boundary_Fields_Addition_2010-12 — Sde_Eliyahu_2011_shokef_alef
data/raw_chips,3654024_2011-05-10_RE5_3A_Analytic_SR_clip.tif,3654024,2011-05-10,Boundary_Fields_Addition_2010-12 — Sde_Eliyahu_kemach_E
data/raw_chips,3654024_2011-05-10_RE5_3A_Analytic_SR_clip.tif,3654024,2011-05-10,Boundary_Fields_Addition_2010-12 — Sde_Eliyahu_Kemach_W_2012
data/raw_chips,3654024_2011-05-10_RE5_3A_Analytic_SR_clip.tif,3654024,2011-05-10,Boundary_Fields_Baseline_2011 — Eden_gimel
data/raw_chips,3654024_2011-05-16_RE1_3A_Analytic_SR_clip.tif,3654024,2011-05-16,Boundary_Fields_Addition_2010-12 — Mesilot_mafrek_E_2011
data/raw_chips,3654024_2011-05-16_RE1_3A_Analytic_SR_clip.tif,3654024,2011-05-16,Boundary_Fields_Addition_2010-12 — Mesilot_um_savisa_2011
